entity_id,source_name,long.x,lat.x,long.y,lat.y,long_diff,lat_diff,check_coords,lat_correct,long_correct,notes
27045POTW12,Spring Valley WWTP,-92.3816866,43.69053627,-92.3816879,43.6905336,1.30E-06,2.67E-06,don't check,,,
27061POTW06,Grand Rapids WWTP,-93.49687607,47.21850962,-93.50571878,47.20383897,0.00884271,0.01467065,done,"47.21575611409742,",-93.50029233,
27045POTW10,Rushford WWTP,-91.75027316,43.80632351,-91.7504223,43.8062919,1.49E-04,3.16E-05,don't check,,,
27045POTW11,Fountain WWTP,-92.13969017,43.73497151,-91.77657161,43.52391539,-0.36311856,0.21105612,done,"43.74081078532096,",-92.13679273,
27073POTW01,Dawson WWTP,-96.04865517,44.93275398,-96.0456049,44.9321067,-0.00305027,6.47E-04,done,"44.9316863853353,",-96.04479392,
27085POTW05,Winsted WWTP,-94.04071747,44.94539378,-94.0406015,44.9451061,-1.16E-04,2.88E-04,don't check,,,
27049POTW01,Goodhue WWTP,-92.62248282,44.39985972,-92.6224752,44.3998517,-7.62E-06,8.02E-06,don't check,,,
27129POTW01,Renville WWTP,-95.21708462,44.78737856,-95.18016002,44.74514015,-0.0369246,0.04223841,done,44.78737856,-95.21708462,
27099POTW01,Adams WWTP,-92.72442544,43.56402152,-92.7243613,43.565413,-6.41E-05,-0.00139148,done,43.56402152,-92.72442544,
27145POTW02,Melrose WWTP,-94.80249046,45.67503724,-94.802452,45.6750552,-3.85E-05,-1.80E-05,don't check,,,
27157POTW01,Lake City WWTP,-92.26213154,44.43809989,-92.2665265,44.4478869,0.00439496,-0.00978701,done,"44.43778362252048,",-92.26154836,
27169POTW02,Lewiston WWTP,-91.88398155,43.96933724,-91.8839055,43.9693365,-7.61E-05,7.40E-07,don't check,,,
27061POTW02,Keewatin WWTP,-93.07039387,47.39351791,-93.0704021,47.3935123,8.23E-06,5.61E-06,don't check,,,
27045POTW08,Ostrander WWTP,-92.42910498,43.62023221,-92.4291498,43.6202542,4.48E-05,-2.20E-05,don't check,,,
27115POTW02,Hinckley WWTP,-92.9087736,46.02370045,-92.9087736,46.0237004,0,5.00E-08,don't check,,,
27129POTW04,Sacred Heart WWTP,-95.34606595,44.78397268,-95.3460751,44.7839884,9.15E-06,-1.57E-05,don't check,,,
27141POTW05,Clear Lake/Clearwater WWTP,-94.0240872,45.41426011,-94.0232932,45.4219423,-7.94E-04,-0.00768219,done,45.41426011,-94.0240872,
27137POTW01,Gilbert WWTP,-92.46137409,47.49079769,-92.40822476,47.46313756,-0.05314933,0.02766013,done,"47.49107504342241,",-92.45901806,
27145POTW05,Richmond WWTP,-94.52473229,45.45196427,-94.5247241,45.4519562,-8.19E-06,8.07E-06,don't check,,,
27171POTW04,Rockford WWTP,-93.73003578,45.0945175,-93.78577,45.11627,0.05573422,-0.0217525,done,"45.0949614700677,",-93.73162343,
27039POTW04,West Concord WWTP,-92.89830008,44.15355552,-92.8918091,44.1515402,-0.00649098,0.00201532,done,"44.15377219775214,",-92.8971509,
27045POTW03,Wykoff WWTP,-92.26235003,43.70873051,-92.2646094,43.7069454,0.00225937,0.00178511,done,43.7069454,-92.2646094,
27049POTW02,Kenyon WWTP,-92.97933025,44.27869913,-92.9793302,44.2786905,-5.00E-08,8.63E-06,don't check,,,
27093POTW01,Grove City WWTP,-94.680416,45.1512405,-94.6809085,45.1565348,4.93E-04,-0.0052943,done,45.1565348,-94.6809085,
27059POTW01,Cambridge WWTP,-93.23311248,45.56645614,-93.2330938,45.5666384,-1.87E-05,-1.82E-04,don't check,,,
27109POTW03,Byron WWTP,-92.64209036,44.05423991,-92.6420903,44.0542399,-6.00E-08,1.00E-08,don't check,,,
27141POTW01,Elk River WWTP,-93.55846176,45.2989929,-93.5594068,45.2996145,9.45E-04,-6.22E-04,don't check,,,
